fetch_timestamp_utc,data_timestamp_utc,symbol,last_price,mark_price,index_price,open_interest,funding_rate
2026-05-13T14:00:05.090988+00:00,2026-05-13T14:00:00+00:00,OPUSDT,0.14782,0.14776,0.14790,115130169.3,-0.00006915
2026-05-13T14:00:05.204404+00:00,2026-05-13T14:00:00+00:00,SUIUSDT,1.21120,1.21146,1.21220,68475090,-0.00000866
2026-05-13T14:00:05.314114+00:00,2026-05-13T14:00:00+00:00,POLUSDT,0.09778,0.09780,0.09792,157392186,-0.000245
2026-05-13T14:00:05.417491+00:00,2026-05-13T14:00:00+00:00,NEARUSDT,1.5796,1.5796,1.5808,41716204.7,0.0001
2026-05-13T14:00:05.531136+00:00,2026-05-13T14:00:00+00:00,DOTUSDT,1.3383,1.3384,1.3391,16061452.8,0.0001
2026-05-13T14:00:05.635313+00:00,2026-05-13T14:00:00+00:00,TRXUSDT,0.34907,0.34909,0.34933,111354286,0.0001
2026-05-13T17:10:01.773747+00:00,2026-05-13T17:00:00+00:00,BTCUSDT,79151.30,79151.66,79183.66,56676.471,0.0000854
2026-05-13T17:10:01.887168+00:00,2026-05-13T17:00:00+00:00,ETHUSDT,2251.23,2251.23,2252.47,895495.82,0.00003319
2026-05-13T17:10:01.993726+00:00,2026-05-13T17:00:00+00:00,SOLUSDT,90.870,90.860,90.896,7228657,0.0001
2026-05-13T17:10:02.103955+00:00,2026-05-13T17:00:00+00:00,XRPUSDT,1.4260,1.4260,1.4268,172921776.6,-0.00011515
2026-05-13T17:10:02.215290+00:00,2026-05-13T17:00:00+00:00,ADAUSDT,0.2640,0.2640,0.2641,269711455,0.00007933
2026-05-13T17:10:02.324359+00:00,2026-05-13T17:00:00+00:00,DOGEUSDT,0.11246,0.11246,0.11252,1477873825,0.00000216
2026-05-13T17:10:02.434162+00:00,2026-05-13T17:00:00+00:00,LINKUSDT,10.197,10.198,10.206,6440431.2,0.0000126
2026-05-13T17:10:02.546163+00:00,2026-05-13T17:00:00+00:00,AVAXUSDT,9.757,9.758,9.761,6488433.6,0.00008329
2026-05-13T17:10:02.657888+00:00,2026-05-13T17:00:00+00:00,BNBUSDT,669.00,669.04,669.57,149052.93,-0.00020331
2026-05-13T17:10:02.769108+00:00,2026-05-13T17:00:00+00:00,LTCUSDT,56.94,56.94,56.96,994756.2,0.000041
2026-05-13T17:10:02.874202+00:00,2026-05-13T17:00:00+00:00,BCHUSDT,433.90,433.90,434.15,112935.85,-0.00003998
2026-05-13T17:10:02.982808+00:00,2026-05-13T17:00:00+00:00,APTUSDT,1.0464,1.0464,1.0476,17755961.47,-0.00013145
2026-05-13T17:10:03.094883+00:00,2026-05-13T17:00:00+00:00,ARBUSDT,0.13286,0.13286,0.13293,263578608,0.0001
2026-05-13T17:10:03.204065+00:00,2026-05-13T17:00:00+00:00,OPUSDT,0.14692,0.14692,0.14695,118799352,0.0001
2026-05-13T17:10:03.315708+00:00,2026-05-13T17:00:00+00:00,SUIUSDT,1.21310,1.21310,1.21376,67434070,0.0001
2026-05-13T17:10:03.426597+00:00,2026-05-13T17:00:00+00:00,POLUSDT,0.09691,0.09691,0.09694,156335366,-0.00001277
2026-05-13T17:10:03.535713+00:00,2026-05-13T17:00:00+00:00,NEARUSDT,1.6028,1.6031,1.6043,41774378.5,0.0001
2026-05-13T17:10:03.643156+00:00,2026-05-13T17:00:00+00:00,DOTUSDT,1.3394,1.3395,1.3406,15692304.2,-0.00004638
2026-05-13T17:10:03.754215+00:00,2026-05-13T17:00:00+00:00,TRXUSDT,0.35017,0.35019,0.35047,109844530,0.00003552
2026-05-13T19:00:07.181995+00:00,2026-05-13T19:00:00+00:00,BTCUSDT,79564.60,79564.50,79595.47,55888.739,0.00004503
2026-05-13T19:00:07.293222+00:00,2026-05-13T19:00:00+00:00,ETHUSDT,2258.67,2258.67,2259.79,870101.18,0.00000254
2026-05-13T19:00:07.397730+00:00,2026-05-13T19:00:00+00:00,SOLUSDT,90.880,90.883,90.935,7164971.5,0.0001
2026-05-13T19:00:07.510453+00:00,2026-05-13T19:00:00+00:00,XRPUSDT,1.4256,1.4256,1.4266,173613105.1,-0.00017043
2026-05-13T19:00:07.616496+00:00,2026-05-13T19:00:00+00:00,ADAUSDT,0.2647,0.2647,0.2648,269924073,0.0001
2026-05-13T19:00:07.721877+00:00,2026-05-13T19:00:00+00:00,DOGEUSDT,0.11333,0.11333,0.11338,1519231258,0.0001
2026-05-13T19:00:07.827950+00:00,2026-05-13T19:00:00+00:00,LINKUSDT,10.200,10.199,10.203,6426737.8,-0.00003239
2026-05-13T19:00:07.931720+00:00,2026-05-13T19:00:00+00:00,AVAXUSDT,9.773,9.774,9.780,6475895.5,0.00001397
2026-05-13T19:00:08.036306+00:00,2026-05-13T19:00:00+00:00,BNBUSDT,671.10,671.16,671.73,148989.78,-0.00013175
2026-05-13T19:00:08.143293+00:00,2026-05-13T19:00:00+00:00,LTCUSDT,56.96,56.97,57.00,991906.8,0.00004922
2026-05-13T19:00:08.263794+00:00,2026-05-13T19:00:00+00:00,BCHUSDT,433.80,433.88,434.19,113110.97,0.00001576
2026-05-13T19:00:08.373632+00:00,2026-05-13T19:00:00+00:00,APTUSDT,1.0505,1.0505,1.0516,17724519.53,-0.00015207
2026-05-13T19:00:08.477415+00:00,2026-05-13T19:00:00+00:00,ARBUSDT,0.13302,0.13303,0.13312,263638305.3,0.0001
2026-05-13T19:00:08.581994+00:00,2026-05-13T19:00:00+00:00,OPUSDT,0.14740,0.14744,0.14755,117581756,0.0001
2026-05-13T19:00:08.693179+00:00,2026-05-13T19:00:00+00:00,SUIUSDT,1.21390,1.21381,1.21429,68466690,0.0001
2026-05-13T19:00:08.796838+00:00,2026-05-13T19:00:00+00:00,POLUSDT,0.09725,0.09730,0.09733,156792526,0.00005
2026-05-13T19:00:08.904124+00:00,2026-05-13T19:00:00+00:00,NEARUSDT,1.6010,1.6010,1.6020,41550218,0.0001
2026-05-13T19:00:09.012335+00:00,2026-05-13T19:00:00+00:00,DOTUSDT,1.3347,1.3347,1.3355,15663221.3,-0.0000733
2026-05-13T19:00:09.121394+00:00,2026-05-13T19:00:00+00:00,TRXUSDT,0.34992,0.34992,0.35021,109842225,0.0000058
2026-05-13T20:00:04.741640+00:00,2026-05-13T20:00:00+00:00,BTCUSDT,79620.20,79618.50,79652.73,55820.359,0.00003587
2026-05-13T20:00:04.850915+00:00,2026-05-13T20:00:00+00:00,ETHUSDT,2256.60,2256.50,2257.30,882602.04,0.00000126
2026-05-13T20:00:04.966286+00:00,2026-05-13T20:00:00+00:00,SOLUSDT,90.940,90.923,90.985,7163999.3,0.00009139
2026-05-13T20:00:05.078810+00:00,2026-05-13T20:00:00+00:00,XRPUSDT,1.4186,1.4186,1.4192,172160041.2,-0.00010917
2026-05-13T20:00:05.200851+00:00,2026-05-13T20:00:00+00:00,ADAUSDT,0.2638,0.2637,0.2639,272897037,0.0001
2026-05-13T20:00:05.320713+00:00,2026-05-13T20:00:00+00:00,DOGEUSDT,0.11297,0.11293,0.11301,1516442782,0.0001
2026-05-13T20:00:05.437976+00:00,2026-05-13T20:00:00+00:00,LINKUSDT,10.167,10.166,10.171,6412302.7,-0.00004907
2026-05-13T20:00:05.555987+00:00,2026-05-13T20:00:00+00:00,AVAXUSDT,9.731,9.732,9.737,6479775.2,-0.00001196
2026-05-13T20:00:05.668784+00:00,2026-05-13T20:00:00+00:00,BNBUSDT,671.10,671.00,671.43,148743.66,-0.00014093
2026-05-13T20:00:05.782953+00:00,2026-05-13T20:00:00+00:00,LTCUSDT,56.79,56.79,56.82,990052,0.00000731
2026-05-13T20:00:05.899824+00:00,2026-05-13T20:00:00+00:00,BCHUSDT,433.40,433.32,433.63,113209.37,0
2026-05-13T20:00:06.014052+00:00,2026-05-13T20:00:00+00:00,APTUSDT,1.0455,1.0451,1.0459,17954363.39,-0.00011665
2026-05-13T20:00:06.129069+00:00,2026-05-13T20:00:00+00:00,ARBUSDT,0.13239,0.13236,0.13237,263812536,0.0001
2026-05-13T20:00:06.239948+00:00,2026-05-13T20:00:00+00:00,OPUSDT,0.14630,0.14629,0.14641,117795760.5,-0.0000214
2026-05-13T20:00:06.358956+00:00,2026-05-13T20:00:00+00:00,SUIUSDT,1.20900,1.20909,1.20969,68725990,0.0001
2026-05-13T20:00:06.480482+00:00,2026-05-13T20:00:00+00:00,POLUSDT,0.09685,0.09685,0.09691,159167871,0.00005
2026-05-13T20:00:06.586347+00:00,2026-05-13T20:00:00+00:00,NEARUSDT,1.5863,1.5863,1.5865,41556715.3,0.0001
2026-05-13T20:00:06.700379+00:00,2026-05-13T20:00:00+00:00,DOTUSDT,1.3215,1.3212,1.3220,15645473.3,-0.00009682
2026-05-13T20:00:06.820929+00:00,2026-05-13T20:00:00+00:00,TRXUSDT,0.34994,0.35000,0.35026,109871160,-0.00002338
2026-05-13T21:01:58.408304+00:00,2026-05-13T21:00:00+00:00,BTCUSDT,79662.20,79666.86,79699.07,56085.097,0.00004272
2026-05-13T21:01:58.514027+00:00,2026-05-13T21:00:00+00:00,ETHUSDT,2262.73,2262.82,2263.81,884879.27,0.00002725
2026-05-13T21:01:58.615580+00:00,2026-05-13T21:00:00+00:00,SOLUSDT,91.180,91.180,91.240,7148916.3,0.00004854
2026-05-13T21:01:58.719008+00:00,2026-05-13T21:00:00+00:00,XRPUSDT,1.4247,1.4248,1.4255,174037958.2,-0.00006793
2026-05-13T21:01:58.817775+00:00,2026-05-13T21:00:00+00:00,ADAUSDT,0.2647,0.2648,0.2649,272116763,0.0001
